id,slug,name,normalized_name,description,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title,dbpedia_uri,popularity_rank,created_at,updated_at
fam-wd-q5311505,duckanoo,duckanoo,duckanoo,Canonical starter dish entry for duckanoo. Origin: Caribbean. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q1729345,Q5311505,Duckanoo,,609,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q19838749,dugun-corbas,düğün çorbası,dugun corbas,Canonical starter dish entry for düğün çorbası. Associated cuisine: Turkish cuisine. Origin: Turkey. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q654493,Q19838749,Düğün çorbası,,610,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2920546,dulce-de-batata,dulce de batata,dulce de batata,Canonical starter dish entry for dulce de batata. Associated cuisine: Uruguayan cuisine. Origin: Latin America. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q2920546,Dulce de batata,,611,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q932742,dumle,Dumle,dumle,Canonical starter dish entry for Dumle. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q932742,Dumle,,614,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q134374794,dunakavics,Dunakavics,dunakavics,Canonical starter dish entry for Dunakavics. Origin: Hungary. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q264327,Q134374794,Dunakavics,,615,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q137921543,dundun,Dundun,dundun,Canonical starter dish entry for Dundun. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q137921543,Dundun (food),,616,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2877510,dutchie,dutchie,dutchie,Canonical starter dish entry for dutchie. Origin: Canada. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q1324207,Q2877510,Dutchie (doughnut),,617,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q1268122,duxelles,duxelles,duxelles,Canonical starter dish entry for duxelles. Associated cuisine: French cuisine. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q1268122,Duxelles,,618,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q12593636,dwaeji-gukbap,dwaeji-gukbap,dwaeji gukbap,Canonical starter dish entry for dwaeji-gukbap. Origin: South Korea. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q647500,Q12593636,Dwaeji-gukbap,,619,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5331480,eba,Eba,eba,Canonical starter dish entry for Eba. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q7033037,Q5331480,Eba,,620,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5332994,eclipse,Eclipse,eclipse,Canonical starter dish entry for Eclipse. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q5332994,Eclipse (breath freshener),,623,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q28402897,edikang-ikong,Edikang Ikong,edikang ikong,Canonical starter dish entry for Edikang Ikong. Associated cuisine: Nigerian cuisine. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q7033037,Q28402897,Edikang ikong,,624,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5338306,edinburgh-rock,Edinburgh rock,edinburgh rock,Canonical starter dish entry for Edinburgh rock. Origin: Scotland. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q5338306,Edinburgh rock,,625,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q30599933,editan,Editan,editan,Canonical starter dish entry for Editan. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q7033037,Q30599933,Editan (soup),,626,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q113002820,edo-black-soup,Edo black soup,edo black soup,Canonical starter dish entry for Edo black soup. Associated cuisine: Nigerian cuisine. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,cat-soups-58c2caa7,cui-wd-q7033037,Q113002820,Edo black soup,,627,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q116745181,edo-traditional-food,Edo traditional food,edo traditional food,Canonical starter dish entry for Edo traditional food. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q116745181,Edo traditional food,,628,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q25043246,efo-riro,Efo riro,efo riro,Canonical starter dish entry for Efo riro. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q7033037,Q25043246,Efo riro,,629,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q113038928,egbo,Egbo,egbo,Canonical starter dish entry for Egbo. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q7033037,Q113038928,Egbo (food),,630,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q122957244,egg-fried-rice,egg fried rice,egg fried rice,Canonical starter dish entry for egg fried rice. Seeded from Wikidata with an English Wikipedia sitelink.,cat-rice-dishes-e5a0eea5,,Q122957244,Egg fried rice,,631,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
