id,label,node_type,parent_id,cuisine_id,category_id,family_id,size_hint
cat-fish-spreads-aec4e03d,Fish spreads,category,cat-dips-and-spreads-3b58ecf2,,cat-fish-spreads-aec4e03d,,11
cat-herb-spreads-50d24332,Herb spreads,category,cat-dips-and-spreads-3b58ecf2,,cat-herb-spreads-50d24332,,11
cat-sauces-and-condiments-10f97308,Sauces and condiments,category,,,cat-sauces-and-condiments-10f97308,,11
cat-emulsified-sauces-3861a9e3,Emulsified sauces,category,cat-sauces-and-condiments-10f97308,,cat-emulsified-sauces-3861a9e3,,11
cat-tomato-sauces-3c57c114,Tomato sauces,category,cat-sauces-and-condiments-10f97308,,cat-tomato-sauces-3c57c114,,11
cat-chile-sauces-04f0f00c,Chile sauces,category,cat-sauces-and-condiments-10f97308,,cat-chile-sauces-04f0f00c,,11
cat-pickles-07c0ac82,Pickles,category,cat-sauces-and-condiments-10f97308,,cat-pickles-07c0ac82,,11
cat-relishes-ce0843b3,Relishes,category,cat-sauces-and-condiments-10f97308,,cat-relishes-ce0843b3,,11
cat-chutneys-f6eca7ef,Chutneys,category,cat-sauces-and-condiments-10f97308,,cat-chutneys-f6eca7ef,,11
cat-skewers-and-grilled-dishes-08780632,Skewers and grilled dishes,category,,,cat-skewers-and-grilled-dishes-08780632,,11
cat-kebabs-3ded5c42,Kebabs,category,cat-skewers-and-grilled-dishes-08780632,,cat-kebabs-3ded5c42,,11
cat-satay-84232c50,Satay,category,cat-skewers-and-grilled-dishes-08780632,,cat-satay-84232c50,,11
cat-barbecue-skewers-1ac68e03,Barbecue skewers,category,cat-skewers-and-grilled-dishes-08780632,,cat-barbecue-skewers-1ac68e03,,11
cat-whole-grilled-fish-e8a2251b,Whole grilled fish,category,cat-skewers-and-grilled-dishes-08780632,,cat-whole-grilled-fish-e8a2251b,,11
cat-grilled-meats-92e738d2,Grilled meats,category,cat-skewers-and-grilled-dishes-08780632,,cat-grilled-meats-92e738d2,,11
cat-grilled-vegetables-ecfc509c,Grilled vegetables,category,cat-skewers-and-grilled-dishes-08780632,,cat-grilled-vegetables-ecfc509c,,11
cat-braises-and-roasts-6028fcc9,Braises and roasts,category,,,cat-braises-and-roasts-6028fcc9,,11
cat-pot-roasts-cc68416e,Pot roasts,category,cat-braises-and-roasts-6028fcc9,,cat-pot-roasts-cc68416e,,11
cat-oven-roasts-52251389,Oven roasts,category,cat-braises-and-roasts-6028fcc9,,cat-oven-roasts-52251389,,11
cat-wine-braises-2e203542,Wine braises,category,cat-braises-and-roasts-6028fcc9,,cat-wine-braises-2e203542,,11
cat-tagines-4f0a8e9b,Tagines,category,cat-braises-and-roasts-6028fcc9,,cat-tagines-4f0a8e9b,,11
cat-confits-deb60810,Confits,category,cat-braises-and-roasts-6028fcc9,,cat-confits-deb60810,,11
cat-glazed-roasts-fb9a4083,Glazed roasts,category,cat-braises-and-roasts-6028fcc9,,cat-glazed-roasts-fb9a4083,,11
cat-fried-dishes-and-fritters-31bc2558,Fried dishes and fritters,category,,,cat-fried-dishes-and-fritters-31bc2558,,11
